,id_diet,tipe_diet,tipe_masakan,resep_masakan,kadar_protein,kadar_karbo,kadar_lemak,fitur_tfidf,segmentasi_kadar_protein,segmentasi_kadar_karbo,segmentasi_kadar_lemak
6120,16,dash,american,Candy Corn Milkshake,20.41,105.95,44.92,dash Candy Corn Milkshake american,2,3,2
6129,17,dash,american,Very Merry Bourbon Alexander,9.27,18.46,7.19,dash Very Merry Bourbon Alexander american,0,0,0
6130,18,dash,american,Milk And Honey Recipe,7.18,16.97,7.37,dash Milk And Honey Recipe american,0,0,0
6146,19,dash,american,Carrots And Blue Cheese,12.18,38.19,38.32,dash Carrots And Blue Cheese american,0,2,2
6151,20,dash,american,Carrot-Thyme Soup With Cream,12.39,212.88,46.59,dash Carrot-Thyme Soup With Cream american,0,1,2
6153,21,dash,american,Sweet Potato & Broccoli Shepard'S Pie,94.3,87.07,111.87,dash Sweet Potato & Broccoli Shepard'S Pie american,1,3,3
6155,22,dash,american,Roasted Pencil-Thin Asparagus,5.82,4.76,9.29,dash Roasted Pencil-Thin Asparagus american,0,0,0
6160,23,dash,american,Pork Medallions With Cranberry-Onion Relish,75.19,59.98,45.96,dash Pork Medallions With Cranberry-Onion Relish american,3,2,2
6174,24,dash,american,The Old Hickory Cocktail Recipe,0.06,2.31,0.0,dash The Old Hickory Cocktail Recipe american,0,0,0
6177,25,dash,american,"Apricot, Cucumber, Pluot, And Lime Basil Salad",3.14,28.6,0.86,"dash Apricot, Cucumber, Pluot, And Lime Basil Salad american",0,0,0
6178,26,dash,american,Chickpea & Butternut Squash Soup,43.03,182.75,93.72,dash Chickpea & Butternut Squash Soup american,3,1,3
6180,27,dash,american,Duck Breast Stuffed With Dried Fruits,22.18,299.11,44.09,dash Duck Breast Stuffed With Dried Fruits american,2,1,2
6189,28,dash,american,Appetizer Meatballs (Frozen Meatballs),161.54,279.67,181.99,dash Appetizer Meatballs (Frozen Meatballs) american,1,1,1
6194,29,dash,american,Mom’S Blueberry Pie,20.57,346.14,210.47,dash Mom’S Blueberry Pie american,2,1,1
6197,30,dash,american,Individual Chili-Cheddar Meatloaves,48.59,58.25,21.74,dash Individual Chili-Cheddar Meatloaves american,3,2,0
6202,31,dash,american,Classic Baked Acorn Squash,3.6,71.5,11.96,dash Classic Baked Acorn Squash american,0,2,0
6203,32,dash,american,Cranberry Salsa,2.22,98.65,0.56,dash Cranberry Salsa american,0,3,0
6214,33,dash,american,Butternut Squash Puree,5.5,85.3,46.35,dash Butternut Squash Puree american,0,3,2
6215,34,dash,american,The Darby'S Three Cheese Macaroni,68.24,66.5,119.84,dash The Darby'S Three Cheese Macaroni american,3,2,1
6216,35,dash,american,Beer-Braised Pork Chops With Pears And Apples Recipe,172.36,144.92,123.38,dash Beer-Braised Pork Chops With Pears And Apples Recipe american,1,3,1
6222,36,dash,american,Homemade Cavatelli Recipe,159.49,342.31,128.03,dash Homemade Cavatelli Recipe american,1,1,1
6224,37,dash,american,Garlic Mashed Potatoes,59.21,356.0,11.8,dash Garlic Mashed Potatoes american,3,1,0
6226,38,dash,american,Avocado-Tomato Open-Face Sandwich,5.47,19.42,8.72,dash Avocado-Tomato Open-Face Sandwich american,0,0,0
6227,39,dash,american,Prescription Julep #2,0.54,203.77,0.12,dash Prescription Julep #2 american,0,1,0
6229,40,dash,american,Fresh Summer Succotash,59.68,201.56,78.2,dash Fresh Summer Succotash american,3,1,3
6234,41,dash,american,Apple 'Cider' Soup,20.42,186.74,10.57,dash Apple 'Cider' Soup american,2,1,0
6237,42,dash,american,Blue Cheese Dressing,31.05,13.44,234.32,dash Blue Cheese Dressing american,2,0,1
6254,43,dash,american,Broccoli Cheese Strata,48.67,44.68,40.35,dash Broccoli Cheese Strata american,3,2,2
6256,44,dash,american,Raspberry Pops,10.61,53.77,9.12,dash Raspberry Pops american,0,2,0
6258,45,dash,american,Louis Dressing,3.03,21.45,182.6,dash Louis Dressing american,0,0,1
6261,46,dash,american,White Wine Sardines With Chickpeas And Sliced Potatoes,65.01,134.91,38.25,dash White Wine Sardines With Chickpeas And Sliced Potatoes american,3,3,2
6269,47,dash,american,Stuffed Mushrooms,70.69,164.03,70.38,dash Stuffed Mushrooms american,3,3,3
6271,48,dash,american,Piping Plum Recipe,0.05,20.01,0.13,dash Piping Plum Recipe american,0,0,0
6273,49,dash,american,Cauliflower Soup,26.69,18.64,34.75,dash Cauliflower Soup american,2,0,2
6277,50,dash,american,Velveeta Tuna Shell Casserole,135.24,160.67,75.9,dash Velveeta Tuna Shell Casserole american,1,3,3
6279,51,dash,american,Very Rustic Custard Tart With Guava Sauce,56.23,184.04,62.54,dash Very Rustic Custard Tart With Guava Sauce american,3,1,2
6282,52,dash,american,L.A. Burdick Classic Hot Chocolate,10.09,61.27,30.93,dash L.A. Burdick Classic Hot Chocolate american,0,2,0
6289,53,dash,american,Barbecue Bloody Mary,29.66,296.55,22.83,dash Barbecue Bloody Mary american,2,1,0
6301,54,dash,american,Cotton Candy Cocktail,0.06,21.87,0.2,dash Cotton Candy Cocktail american,0,0,0
6303,55,dash,american,Tequila Sunrise Jelly Shots,13.87,50.79,0.51,dash Tequila Sunrise Jelly Shots american,0,2,0
6304,56,dash,american,Bacon-Wrapped Scallops With Chili Butter,139.74,34.63,186.92,dash Bacon-Wrapped Scallops With Chili Butter american,1,2,1
6305,57,dash,american,Lemon Dipping Sauce,5.43,14.46,45.56,dash Lemon Dipping Sauce american,0,0,2
6311,58,dash,american,Grilled Chicken,148.38,57.14,79.0,dash Grilled Chicken american,1,2,3
6315,59,dash,american,"""Fruit Cocktail"" Crisp",10.34,166.68,26.0,"dash ""Fruit Cocktail"" Crisp american",0,1,0
6327,60,dash,american,A Cuban Version Of A Manhattan Recipe,0.01,0.39,0.0,dash A Cuban Version Of A Manhattan Recipe american,0,0,0
6329,61,dash,american,White Knight,0.03,3.85,0.02,dash White Knight american,0,0,0
6337,62,dash,american,Shrimp Newburg On Toast Points,70.99,61.58,22.27,dash Shrimp Newburg On Toast Points american,3,2,0
6338,63,dash,american,Oven Roasted Brussel Sprouts With Rosemary,6.02,16.17,14.13,dash Oven Roasted Brussel Sprouts With Rosemary american,0,0,0
6339,64,dash,american,Turkey Burgers,89.86,5.98,34.81,dash Turkey Burgers american,1,0,2
6340,65,dash,american,Sepia'S Death & Taxes Recipe,0.33,218.13,0.16,dash Sepia'S Death & Taxes Recipe american,0,1,0
6341,66,dash,american,Healthy & Delicious: Broiled Grapefruit Recipe,1.72,23.93,4.19,dash Healthy & Delicious: Broiled Grapefruit Recipe american,0,0,0
6343,67,dash,american,Simple Buttermilk Biscuits Recipe,34.91,205.9,96.26,dash Simple Buttermilk Biscuits Recipe american,2,1,3
6347,68,dash,american,Pumpkin Soup Recipes,58.63,302.3,104.44,dash Pumpkin Soup Recipes american,3,1,3
6349,69,dash,american,O' Mai Mai Juice,6.78,139.45,2.46,dash O' Mai Mai Juice american,0,3,0
6353,70,dash,american,Grilled Cheese With Roasted Tomato Spread,63.54,115.83,103.45,dash Grilled Cheese With Roasted Tomato Spread american,3,3,3
6359,71,dash,american,"Bloody Carrot ""Bacon""",2.44,53.64,14.15,"dash Bloody Carrot ""Bacon"" american",0,2,0
6367,72,dash,american,Horn & Hardart’S Macaroni And Cheese,76.33,208.33,86.88,dash Horn & Hardart’S Macaroni And Cheese american,3,1,3
6368,73,dash,american,Avocado Dressing,4.18,18.97,118.42,dash Avocado Dressing american,0,0,1
6371,74,dash,american,One-Eyed Sailor,121.62,68.3,200.02,dash One-Eyed Sailor american,1,2,1
6376,75,dash,american,Easy Roasted Potatoes With Garlic Recipes,32.71,273.54,74.46,dash Easy Roasted Potatoes With Garlic Recipes american,2,1,3
6380,76,dash,american,Cinnamon Honey Butter,2.11,65.66,184.19,dash Cinnamon Honey Butter american,0,2,1
6381,77,dash,american,Chicken Anticuchos,119.55,29.61,79.74,dash Chicken Anticuchos american,1,0,3
6388,78,dash,american,Yogurt Pops,9.07,34.05,7.9,dash Yogurt Pops american,0,2,0
6392,79,dash,american,El Presidente Recipe,0.04,7.98,0.06,dash El Presidente Recipe american,0,0,0
6397,80,dash,american,Spring Spice,0.63,19.31,0.23,dash Spring Spice american,0,0,0
6403,81,dash,american,Orrechiette With Red Kale And Bacon Cubes,55.18,133.72,74.68,dash Orrechiette With Red Kale And Bacon Cubes american,3,3,3
6404,82,dash,american,Chocolate-Pomegranate Toasted Walnuts,2.6,99.34,72.74,dash Chocolate-Pomegranate Toasted Walnuts american,0,3,3
6405,83,dash,american,Maple Manhattan,0.03,9.6,0.01,dash Maple Manhattan american,0,0,0
6407,84,dash,american,Vanilla Roasted Walnuts,1.24,33.92,18.73,dash Vanilla Roasted Walnuts american,0,2,0
6408,85,dash,american,Parchment Candied Beets & Greens With Blood Orange & Balsamic,30.83,246.37,44.16,dash Parchment Candied Beets & Greens With Blood Orange & Balsamic american,2,1,2
6411,86,dash,american,Cranberry-Chipotle Turkey,150.43,219.51,51.6,dash Cranberry-Chipotle Turkey american,1,1,2
6413,87,dash,american,Fast Blue Cheese Dressing,12.83,6.31,115.22,dash Fast Blue Cheese Dressing american,0,0,3
6416,88,dash,american,"Sweet Potato, Cranberry And Pecan Salad",9.55,140.8,65.44,"dash Sweet Potato, Cranberry And Pecan Salad american",0,3,2
6424,89,dash,american,Peanut Butter Banana Cake,78.91,255.43,140.81,dash Peanut Butter Banana Cake american,3,1,1
6427,90,dash,american,Mexicali Chicken,128.05,3.77,28.7,dash Mexicali Chicken american,1,0,0
6429,91,dash,american,Scotch Negroni Recipe,0.05,9.9,0.09,dash Scotch Negroni Recipe american,0,0,0
6433,92,dash,american,Oysters Rockefeller Soup Recipe,95.87,209.19,135.19,dash Oysters Rockefeller Soup Recipe american,1,1,1
6434,93,dash,american,Manhattan Jelly Shots,12.2,77.48,0.01,dash Manhattan Jelly Shots american,0,3,0
6436,94,dash,american,Chili Fries Recipe,116.64,210.6,190.5,dash Chili Fries Recipe american,1,1,1
6442,95,dash,american,Glazed Walnuts,0.46,19.59,1.79,dash Glazed Walnuts american,0,0,0
6446,96,dash,american,Wine-Poached Peaches,11.54,161.96,59.71,dash Wine-Poached Peaches american,0,3,2
6449,97,dash,american,Pumpkin Soup,56.71,299.68,69.76,dash Pumpkin Soup american,3,1,3
6453,98,dash,american,Yellow Jacket Recipe,0.05,20.11,0.15,dash Yellow Jacket Recipe american,0,0,0
6456,99,dash,american,Celebrate Fat Tuesday With The Pinnacle® Creole Mary!,15.63,64.48,5.44,dash Celebrate Fat Tuesday With The Pinnacle® Creole Mary! american,0,2,0
6462,100,dash,american,Cabbage Orange Salad,7.29,47.48,14.41,dash Cabbage Orange Salad american,0,2,0
6465,101,dash,american,Baked Chicken,108.97,0.86,48.36,dash Baked Chicken american,1,0,2
6469,102,dash,american,Simple Cheeseburger And Handcut Fries,44.37,110.53,64.95,dash Simple Cheeseburger And Handcut Fries american,3,3,2
6474,103,dash,american,Roasted Delicata With Bacon-Shallots And Pomegranate,32.85,132.06,45.75,dash Roasted Delicata With Bacon-Shallots And Pomegranate american,2,3,2
6475,104,dash,american,Virgin Mary,10.81,56.54,3.63,dash Virgin Mary american,0,2,0
6476,105,dash,american,Mashed Rutabagas Recipes,10.22,43.35,5.28,dash Mashed Rutabagas Recipes american,0,2,0
6479,106,dash,american,"Coconut, Caramel & Pecan Dairy-Free Ice Cream",26.43,77.92,209.71,"dash Coconut, Caramel & Pecan Dairy-Free Ice Cream american",2,3,1
6495,107,dash,american,Meatloaf Muffins,88.25,29.18,97.16,dash Meatloaf Muffins american,1,0,3
6499,108,dash,american,Poor Man'S Soup,28.98,93.73,10.66,dash Poor Man'S Soup american,2,3,0
6501,109,dash,american,Blue Cheese Dressing Recipes,18.7,8.48,23.38,dash Blue Cheese Dressing Recipes american,2,0,0
6502,110,dash,american,Faux Fried Chicken,38.07,117.44,13.4,dash Faux Fried Chicken american,2,3,0
6504,111,dash,american,Spinach & Cheese Strata,180.08,220.14,166.89,dash Spinach & Cheese Strata american,1,1,1
6516,112,dash,american,3-Ingredient Walnut Flourless Cake,72.47,293.63,202.57,dash 3-Ingredient Walnut Flourless Cake american,3,1,1
6518,113,dash,american,Easy Roasted Potatoes With Garlic Recipe,33.27,276.96,74.64,dash Easy Roasted Potatoes With Garlic Recipe american,2,1,3
6523,114,dash,american,Zombie Cocktail Recipe,0.79,9.05,0.22,dash Zombie Cocktail Recipe american,0,0,0
6530,115,dash,american,Chicken Sausage And Potato Skillet,20.94,65.36,19.01,dash Chicken Sausage And Potato Skillet american,2,2,0
6533,116,dash,american,Raw Vegan Coconut Macaroons,31.57,95.83,112.34,dash Raw Vegan Coconut Macaroons american,2,3,3
6540,117,dash,american,Apple Pie Grilled Cheese Sandwich Recipes,20.42,63.28,44.17,dash Apple Pie Grilled Cheese Sandwich Recipes american,2,2,2
6542,118,dash,american,Spiced Oven Fries,11.23,93.43,14.7,dash Spiced Oven Fries american,0,3,0
6548,119,dash,american,Celery & Blue Cheese Dip With Tomato Juice,10.32,10.65,9.37,dash Celery & Blue Cheese Dip With Tomato Juice american,0,0,0
6550,120,dash,american,Roasted Asparagus With Balsamic Browned Butter,11.22,20.01,23.66,dash Roasted Asparagus With Balsamic Browned Butter american,0,0,0
6553,121,dash,american,Fruit Crisp,25.33,316.89,99.11,dash Fruit Crisp american,2,1,3
6557,122,dash,american,Cheddar Ginger Wafers Recipe,64.84,109.96,123.89,dash Cheddar Ginger Wafers Recipe american,3,3,1
6558,123,dash,american,Lemon & Walnut Crusted Cod,47.49,17.28,44.54,dash Lemon & Walnut Crusted Cod american,3,0,2
6563,124,dash,american,Cheese Balls Three Ways,16.27,13.57,179.47,dash Cheese Balls Three Ways american,0,0,1
6571,125,dash,american,Ultimate Country Style Soup,78.05,104.08,175.56,dash Ultimate Country Style Soup american,3,3,1
6577,126,dash,american,Kerouac Cocktail,0.18,8.32,0.1,dash Kerouac Cocktail american,0,0,0
6581,127,dash,american,Grilled Fuji-N-Chick 'Wich,38.03,41.48,24.15,dash Grilled Fuji-N-Chick 'Wich american,2,2,0
6584,128,dash,american,Lemon-Blueberry With Mascarpone Oatmeal,7.57,40.93,9.9,dash Lemon-Blueberry With Mascarpone Oatmeal american,0,2,0
6586,129,dash,american,Original Ranchandreg; Pork Chops,106.57,19.57,35.82,dash Original Ranchandreg; Pork Chops american,1,0,2
6592,130,dash,american,Hasselback Eggplant Parmesan,139.61,159.23,148.51,dash Hasselback Eggplant Parmesan american,1,3,1
6598,131,dash,american,Original Martini,0.1,6.69,0.01,dash Original Martini american,0,0,0
6606,132,dash,american,Breaded Chicken Fingers,102.95,36.31,43.9,dash Breaded Chicken Fingers american,1,2,2
6607,133,dash,american,"Dark Chocolate, Chia, And Cherry Pecan Bar",10.48,94.15,67.01,"dash Dark Chocolate, Chia, And Cherry Pecan Bar american",0,3,3
6609,134,dash,american,Grilled Corn Casserole,16.45,80.78,103.62,dash Grilled Corn Casserole american,0,3,3
6612,135,dash,american,Ghanaian Inspired Black Eye Pea'S,31.83,58.2,16.77,dash Ghanaian Inspired Black Eye Pea'S american,2,2,0
6613,136,dash,american,Ultra-Creamy Mashed Potatoes,69.03,370.79,77.97,dash Ultra-Creamy Mashed Potatoes american,3,1,3
6615,137,dash,american,Simple Cucumber Salad,2.63,17.19,6.21,dash Simple Cucumber Salad american,0,0,0
6617,138,dash,american,Rise And Shine,21.19,27.6,20.95,dash Rise And Shine american,2,0,0
6621,139,dash,american,Three Onion Mac And Cheese,113.95,285.32,126.13,dash Three Onion Mac And Cheese american,1,1,1
6622,140,dash,american,Gin-To-The-Fire,0.19,9.84,0.08,dash Gin-To-The-Fire american,0,0,0
6630,141,dash,american,Old Fashioned (Bourbon And Orange) Ice Cream Recipe,30.29,178.43,205.5,dash Old Fashioned (Bourbon And Orange) Ice Cream Recipe american,2,1,1
6633,142,dash,american,Bananas Foster,17.42,295.9,181.86,dash Bananas Foster american,0,1,1
6637,143,dash,american,Ring-My-Bella Mushroom Sandwich,15.21,40.5,28.64,dash Ring-My-Bella Mushroom Sandwich american,0,2,0
6645,144,dash,american,Bloody Mary-Flavored Gazpacho Recipe,10.49,52.84,110.43,dash Bloody Mary-Flavored Gazpacho Recipe american,0,2,3
6648,145,dash,american,Bourbon-Caramel Truffles,11.06,141.96,46.94,dash Bourbon-Caramel Truffles american,0,3,2
6654,146,dash,american,Aunt Trish’S Salad Dressing,14.9,14.82,172.03,dash Aunt Trish’S Salad Dressing american,0,0,1
6656,147,dash,american,Caramel Pears,2.06,97.72,0.56,dash Caramel Pears american,0,3,0
6661,148,dash,american,Dinner Tonight: Chipped Beef Gravy,27.23,46.93,24.22,dash Dinner Tonight: Chipped Beef Gravy american,2,2,0
6662,149,dash,american,Crunchy Snow Peas With Toasted Almonds,17.31,44.63,37.23,dash Crunchy Snow Peas With Toasted Almonds american,0,2,2
6666,150,dash,american,Sunchoke Chips With Warm Blue-Cheese Dip,52.84,171.55,50.66,dash Sunchoke Chips With Warm Blue-Cheese Dip american,3,1,2
6669,151,dash,american,Sensational Turkey Noodle Soup,65.4,50.29,16.52,dash Sensational Turkey Noodle Soup american,3,2,0
6672,152,dash,american,Turkey Caesar Sandwich Recipes,30.13,29.58,19.5,dash Turkey Caesar Sandwich Recipes american,2,0,0
6678,153,dash,american,Fire Roasted Tomato Soup,8.14,40.92,29.6,dash Fire Roasted Tomato Soup american,0,2,0
6679,154,dash,american,Pickled Cucumber And Onion Appetizer,12.86,94.98,10.46,dash Pickled Cucumber And Onion Appetizer american,0,3,0
6680,155,dash,american,The Rosita,0.02,0.77,0.0,dash The Rosita american,0,0,0
6682,156,dash,american,"Lime, Soy, And Maple Drizzle",2.37,32.94,7.83,"dash Lime, Soy, And Maple Drizzle american",0,2,0
6684,157,dash,american,"Vidalia Onion Burger With Honeydew Melon, Caramelized Onions And Goat Cheese",108.71,170.01,117.39,"dash Vidalia Onion Burger With Honeydew Melon, Caramelized Onions And Goat Cheese american",1,1,1
6685,158,dash,american,Pumpkin Maple Milkshake,1.87,21.6,4.41,dash Pumpkin Maple Milkshake american,0,0,0
6687,159,dash,american,Peanut Butter Soufflé Recipes,58.43,145.31,157.47,dash Peanut Butter Soufflé Recipes american,3,3,1
6689,160,dash,american,Cherry-Grapefruit Basil Sorbet,6.69,193.45,1.25,dash Cherry-Grapefruit Basil Sorbet american,0,1,0
6690,161,dash,american,Aunt Trish’S Salad Dressing Recipes,14.9,14.82,172.03,dash Aunt Trish’S Salad Dressing Recipes american,0,0,1
6695,162,dash,american,Kim In The Swim,0.19,23.46,0.04,dash Kim In The Swim american,0,0,0
6696,163,dash,american,Turkey Caesar Sandwich,30.09,29.48,19.49,dash Turkey Caesar Sandwich american,2,0,0
6697,164,dash,american,Chocolate Chip Meringues With Strawberries,4.63,46.28,3.72,dash Chocolate Chip Meringues With Strawberries american,0,2,0
6699,165,dash,american,Hot Crab Dip Recipe,44.74,13.73,112.39,dash Hot Crab Dip Recipe american,3,0,3
6702,166,dash,american,Spinach Oshitashi Style Recipes,21.28,26.44,5.36,dash Spinach Oshitashi Style Recipes american,2,0,0
6705,167,dash,american,Golden Yellow Mustard,9.35,27.11,39.38,dash Golden Yellow Mustard american,0,0,2
6706,168,dash,american,Fall Classic,2.59,115.57,0.83,dash Fall Classic american,0,3,0
6707,169,dash,american,Cranberry-Chocolate Fudge,27.92,370.54,145.28,dash Cranberry-Chocolate Fudge american,2,1,1
6711,170,dash,american,Goguma Twigim (Pan-Fried Sweet Potatoes),19.05,173.92,28.42,dash Goguma Twigim (Pan-Fried Sweet Potatoes) american,2,1,0
6713,171,dash,american,Grilled Sweet And Tangy Pork Chops,168.38,37.09,73.51,dash Grilled Sweet And Tangy Pork Chops american,1,2,3
6716,172,dash,american,Martha'S Sandwich With Bitter Greens Recipes,51.45,99.25,42.49,dash Martha'S Sandwich With Bitter Greens Recipes american,3,3,2
6718,173,dash,american,Mashed Potatoes And Parsnips,28.46,227.57,44.81,dash Mashed Potatoes And Parsnips american,2,1,2
6721,174,dash,american,Creamy Broccoli Soup Recipes,22.52,56.59,18.39,dash Creamy Broccoli Soup Recipes american,2,2,0
6725,175,dash,american,Roasted Root Vegetable Soup With Grilled Cheese Croutons,80.42,267.79,85.29,dash Roasted Root Vegetable Soup With Grilled Cheese Croutons american,3,1,3
6726,176,dash,american,Glazed Aebleskivers,32.85,242.76,64.39,dash Glazed Aebleskivers american,2,1,2
6734,177,dash,american,Maui'S Hot Dog Soprano,25.56,19.2,67.0,dash Maui'S Hot Dog Soprano american,2,0,3
6739,178,dash,american,Indian-Spiced Cashews,26.32,78.92,70.76,dash Indian-Spiced Cashews american,2,3,3
6741,179,dash,american,Ultra Creamy Mashed Potatoes,45.32,217.52,71.01,dash Ultra Creamy Mashed Potatoes american,3,1,3
6746,180,dash,american,Shallot Parsley Dip,22.8,20.99,19.91,dash Shallot Parsley Dip american,2,0,0
6748,181,dash,american,Roasted Raw Bananas,8.11,80.46,75.44,dash Roasted Raw Bananas american,0,3,3
6749,182,dash,american,Grilled Breadsticks,4.36,14.07,12.97,dash Grilled Breadsticks american,0,0,0
6751,183,dash,american,Kastel'S Pumpkin Punch Cocktail Recipe,0.48,19.07,0.18,dash Kastel'S Pumpkin Punch Cocktail Recipe american,0,0,0
6755,184,dash,american,Christmas Egg Pie,130.01,52.81,161.37,dash Christmas Egg Pie american,1,2,1
6758,185,dash,american,Absinthe And Old Lace Cocktail Recipe,3.19,17.14,5.47,dash Absinthe And Old Lace Cocktail Recipe american,0,0,0
6761,186,dash,american,Manhattan Ice Cream Float,26.99,198.89,146.97,dash Manhattan Ice Cream Float american,2,1,1
6766,187,dash,american,"Twice Baked Sweet Potatoes With Rosemary, Gruyere And Coffee Spiced Pecans",14.69,85.49,46.72,"dash Twice Baked Sweet Potatoes With Rosemary, Gruyere And Coffee Spiced Pecans american",0,3,2
6767,188,dash,american,Prosciutto-Wrapped Shrimp With Bourbon Barbecue Sauce Recipes,83.39,95.48,45.97,dash Prosciutto-Wrapped Shrimp With Bourbon Barbecue Sauce Recipes american,1,3,2
6774,189,dash,american,Shaved Brussels Sprouts Salad,21.91,69.71,44.26,dash Shaved Brussels Sprouts Salad american,2,2,2
6779,190,dash,american,Basil Butter Broiled Oysters,115.45,63.68,119.49,dash Basil Butter Broiled Oysters american,1,2,1
6780,191,dash,american,East India Cocktail,0.08,10.95,0.02,dash East India Cocktail american,0,0,0
6785,192,dash,american,Roasted Brussels Sprouts And Chestnuts,26.1,140.25,33.81,dash Roasted Brussels Sprouts And Chestnuts american,2,3,2
6786,193,dash,american,Firecracker Chicken,179.41,42.81,82.87,dash Firecracker Chicken american,1,2,3
6788,194,dash,american,Smoked Tuna Dip,47.69,2.4,15.61,dash Smoked Tuna Dip american,3,0,0
6789,195,dash,american,Savory Green Apple Salad,4.25,29.14,19.39,dash Savory Green Apple Salad american,0,0,0
6790,196,dash,american,Macaroni And Cheese,132.92,224.58,224.77,dash Macaroni And Cheese american,1,1,1
6791,197,dash,american,Blue Cheese Turkey Rolls,30.85,3.56,31.32,dash Blue Cheese Turkey Rolls american,2,0,0
6794,198,dash,american,Decadent Skinny Slaw,8.93,54.21,45.49,dash Decadent Skinny Slaw american,0,2,2
6798,199,dash,american,Quick Tomato Soup With Cheesy Garlic Dippers,41.38,87.13,41.62,dash Quick Tomato Soup With Cheesy Garlic Dippers american,2,3,2
6799,200,dash,american,Quinoa And Black Eyed Pea Salad,30.28,151.97,39.21,dash Quinoa And Black Eyed Pea Salad american,2,3,2
6802,201,dash,american,Corn Fritters A La New England,27.97,159.14,20.77,dash Corn Fritters A La New England american,2,3,0
6804,202,dash,american,Lemony Kale And Roasted Mushroom Salad With Pecans Recipes,31.75,83.78,100.03,dash Lemony Kale And Roasted Mushroom Salad With Pecans Recipes american,2,3,3
6809,203,dash,american,Sweet 'N' Sassy Grilled Flank Steak,169.61,27.33,78.02,dash Sweet 'N' Sassy Grilled Flank Steak american,1,0,3
6813,204,dash,american,Butternut Squash And Bacon Bloody Mary,2.09,19.71,0.57,dash Butternut Squash And Bacon Bloody Mary american,0,0,0
6820,205,dash,american,Guinness Float,29.8,130.28,127.51,dash Guinness Float american,2,3,1
6822,206,dash,american,Eggs Benedict Recipes,86.48,58.51,159.2,dash Eggs Benedict Recipes american,1,2,1
6825,207,dash,american,Raw Chocolate Mousse,14.37,132.29,62.11,dash Raw Chocolate Mousse american,0,3,2
6829,208,dash,american,"Roasted Chicken Butternut Squash, Potatoes And Leeks",49.4,116.2,26.29,"dash Roasted Chicken Butternut Squash, Potatoes And Leeks american",3,3,0
6835,209,dash,american,Moist And Savory Stuffing,61.47,343.49,21.05,dash Moist And Savory Stuffing american,3,1,0
6836,210,dash,american,Apple-Bacon Egg Bake,43.18,48.95,76.63,dash Apple-Bacon Egg Bake american,3,2,3
6838,211,dash,american,Grilled Mango And Marinated Sirloin Kebabs,115.86,96.18,25.33,dash Grilled Mango And Marinated Sirloin Kebabs american,1,3,0
6839,212,dash,american,Caesar Dressing Recipes,12.08,6.85,64.18,dash Caesar Dressing Recipes american,0,0,2
6842,213,dash,american,Classic Chicken Salad Recipes,26.47,2.52,28.67,dash Classic Chicken Salad Recipes american,2,0,0
6845,214,dash,american,Lobster With Thermidor Butter,70.84,21.45,128.56,dash Lobster With Thermidor Butter american,3,0,1
6849,215,dash,american,Drinking In Season: Cranberry Crush Recipe,0.44,218.38,0.13,dash Drinking In Season: Cranberry Crush Recipe american,0,1,0
6852,216,dash,american,Caesar Brussels Sprouts Salad With Almonds,22.56,39.91,35.15,dash Caesar Brussels Sprouts Salad With Almonds american,2,2,2
